pseudo,Andre Romelle Young,Bruno Beausir,Bruno Lopes,Didier Morville,Dwayne Johnson,Elie Yaffa,Gary Grice,Marshall mathers,Mathias Crochon,Patrick Benguigui,Shawn Corey Carter
Booba,0.7806923967188746,0.05329257090538712,0.3130278593234741,0.8035318591203809,0.7804360824976058,0.25,0.03830849451087306,0.2937620797168886,0.06076118697950208,0.25,0.4098662149737724
Doc Gyneco,0.7412797944824004,0.25,0.21112118759004275,0.7157484519148206,0.6929048912844138,0.25,0.25,0.39727025610620037,0.25,0.25,0.3353789197589085
Dr. Dre,1.0,0.05801495967351887,0.41070055441819747,0.7956541136320683,0.8026415742303332,0.25,0.25,0.2519927015972092,0.053746840903999483,0.08113646253306508,0.15232015389268622
Eminem,0.8082131038825251,0.25,0.386175755850656,0.7741135518085878,0.7796827447192388,0.05409170499760102,0.25,0.381826965191772,0.25,0.25,0.37958708177855643
GZA,0.07613251861469843,0.5795239469193348,0.7653863758532458,0.1103974322218308,0.35095451557729485,0.75,0.75,0.9596711999897923,0.75,0.75,0.5734505083942618
Jay-Z,0.7662611122030568,0.05028648676420724,0.17052194138181484,0.7687139888368218,0.7823893075911651,0.25,0.25,0.3583128739624499,0.057381382604164144,0.05980076120246272,0.37852809081457117
Joey Starr,0.7956541136320683,0.25,0.3846546573024483,1.0,0.7692043895563851,0.07590292147539401,0.07165519998013549,0.3879859931092112,0.25,0.25,0.3894629969993202
Kool Shen,0.6199901755991436,0.5,0.6172809397840232,0.5756937162924332,0.5460279097786488,0.30673967414023234,0.5,0.6106017624472451,0.5,0.5,0.608825123551743
Patrick Bruel,0.7340255773629619,0.07888234349667647,0.24971286497632914,0.687995364908461,0.7773159685056348,0.25,0.25,0.36409927496324235,0.25,0.09199115209861061,0.31525353840493003
Rockin' Squat,0.6171274091524479,0.30314014664811684,0.5202931735535957,0.5593590692314548,0.5630219573085015,0.30389421261294863,0.3103874256131007,0.5302787659155719,0.30531258711785175,0.33672557679074167,0.6122245758351316
The Rock,0.15263023154139047,0.5797149095989806,0.7846524149015142,0.10910663946959018,0.35362719122996045,0.75,0.5,0.7315803855335784,0.5452868612966545,0.5741841963689299,0.9141413224376974
