pseudo,Andre Romelle Young,Bruno Beausir,Bruno Lopes,Didier Morville,Dwayne Johnson,Elie Yaffa,Gary Grice,Marshall Mathers,Mathias Crochon,Patrick Benguigui,Shawn Corey Carter
Booba,0.8955417947632643,0.828789011551445,0.8689828783144005,0.8102499535507101,0.7863139571573425,0.6296377119217577,0.626559811163876,0.6067214432427472,0.7868594714811091,0.8096402145865559,0.6210239315951924
Doc Gyneco,0.8951239181932124,1.0,0.8926980663282117,0.8122769480410011,0.83259069757536,0.5106930900256821,0.47746873112972676,0.409809287588023,0.8310494592315835,0.8447427280712309,0.5201090331201291
Dr. Dre,1.0,0.946451232700231,0.9694790894664179,0.9144578308880653,0.8965438835988943,0.5266672098624506,0.5052787006001208,0.4734085562076891,0.9228909075314938,0.9045089399013156,0.5932136231430059
Eminem,0.8888001356785202,0.8380194154466629,0.9032976773827216,0.7862577025711888,0.8956697464757882,0.5377706483822583,0.5031546281914213,0.4795236937184458,0.8846176831716609,0.8851670482921123,0.5703900737872668
GZA,0.9417001384398043,0.9353698456707106,0.9422724152863791,0.8965944180420891,0.8984977294029174,0.5624097374896042,0.5631472380319219,0.5473951179015709,0.9382284879580282,0.9029844724329307,0.6229038535223849
Jay-Z,0.9204249432828295,0.8805910439290133,0.8810674584018331,0.901566328831188,0.7907891491534204,0.6945370644014753,0.6077767142768032,0.5051927713608557,0.8249555154899426,0.7811376060850304,0.6533937084124383
Joey Starr,0.9144578308880653,0.9288759130676528,0.9148989477597099,1.0,0.8522505464302861,0.676421119622486,0.660364046071393,0.6069310901038261,0.8974323235931161,0.8484295194169386,0.7367184411068067
Kool Shen,0.9400352455125704,0.8936758290224007,1.0,0.8715563944496387,0.8209352680866541,0.5051510248585609,0.4898800167791753,0.44054929712538327,0.873133369849982,0.844294639037597,0.5228534956988073
Patrick Bruel,0.8704254547776517,0.8241861338272799,0.8884642595895367,0.7820914399202371,0.8417861782941668,0.5612177645577213,0.48987392884401676,0.42451573426319017,0.8674045669861492,1.0,0.6527860194479095
Rockin' Squat,0.9387480438128591,0.8787251560655952,0.9234945795892572,0.8685741148002645,0.8481790093211674,0.4829019995456079,0.5134579905391298,0.5253497368951473,1.0,0.8607096493385857,0.6038414430125946
The Rock,0.6067936274695922,0.6693764054956453,0.6745165545774117,0.6464741162183347,0.5723726951880025,0.48078139587746926,0.4200332043559294,0.36109216724807064,0.6181716524131908,0.5730636473500541,0.4688703882213514
